dataset,case,arm,frame,n_trials,mean_l2_m,mean_abs_x_m,mean_abs_y_m,mean_abs_z_m,mean_ang_rad
real,left_pick_x35_y30_z18,left,left_wrist_yaw_link,3,0.027217057270999438,0.006016666666666652,0.003213333333333346,0.026346666666666657,0.052823857264291486
real,right_pick_x30_y20_z06,right,right_wrist_yaw_link,3,0.04373289028463553,0.026760000000000006,0.02271999999999999,0.02606333333333333,0.09296590043816912
real,right_pick_x30_y20_z10,right,right_wrist_yaw_link,3,0.0396564076571577,0.02137,0.019479999999999997,0.027130000000000005,0.10927563620244103
real,right_pick_x30_y20_z14,right,right_wrist_yaw_link,3,0.043437308519464125,0.020659999999999994,0.02651666666666666,0.027510000000000017,0.13488839640361897
real,right_pick_x30_y20_z18,right,right_wrist_yaw_link,3,0.043392747283651854,0.014306666666666634,0.03272999999999999,0.024636666666666657,0.14307652556316275
real,right_pick_x30_y30_z06,right,right_wrist_yaw_link,3,0.0308757100749152,0.01856666666666666,0.012503333333333347,0.021259999999999998,0.0387326213457495
real,right_pick_x30_y30_z10,right,right_wrist_yaw_link,3,0.022869634678156794,0.008396666666666663,0.018093333333333333,0.01116333333333334,0.04135107647722898
real,right_pick_x30_y30_z14,right,right_wrist_yaw_link,3,0.021276962300166107,0.00804333333333331,0.014313333333333345,0.013526666666666678,0.06680636619565578
real,right_pick_x30_y30_z18,right,right_wrist_yaw_link,3,0.020878304979361606,0.00550666666666666,0.01368666666666668,0.014773333333333333,0.07866765515332576
real,right_pick_x35_y20_z06,right,right_wrist_yaw_link,3,0.046094726771270446,0.028733333333333316,0.017483333333333313,0.031463333333333336,0.03285849011135124
real,right_pick_x35_y20_z10,right,right_wrist_yaw_link,3,0.042495645641857045,0.022546666666666642,0.017223333333333323,0.03162,0.042623794869224955
real,right_pick_x35_y20_z14,right,right_wrist_yaw_link,3,0.048485518942231624,0.02554999999999998,0.018756666666666654,0.036690000000000014,0.08990421745986123
real,right_pick_x35_y20_z18,right,right_wrist_yaw_link,3,0.043498406488777126,0.020043333333333302,0.014043333333333324,0.03595999999999999,0.11826540140770359
real,right_pick_x35_y30_z06,right,right_wrist_yaw_link,3,0.049548183206888856,0.03748333333333329,0.01379666666666668,0.029156666666666664,0.02035891933088153
real,right_pick_x35_y30_z10,right,right_wrist_yaw_link,3,0.04224574646976182,0.025079999999999974,0.014630000000000013,0.030683333333333344,0.02201672104528514
real,right_pick_x35_y30_z14,right,right_wrist_yaw_link,3,0.04446363286375111,0.02486333333333331,0.01531000000000001,0.03352666666666668,0.42246845822865486
real,right_pick_x35_y30_z18,right,right_wrist_yaw_link,3,0.037564412153266315,0.018383333333333307,0.013733333333333339,0.02973999999999999,0.09413955314825417
sim,left_pick_x30_y20_z06,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673189128491534e-06
sim,left_pick_x30_y20_z10,left,left_wrist_yaw_link,3,0.002860642430182119,0.001956666666666662,2.3333333333347417e-05,0.002086666666666672,0.00013408056112509026
sim,left_pick_x30_y20_z14,left,left_wrist_yaw_link,3,0.020370152578318493,0.014843333333333339,0.00012666666666667306,0.01395000000000001,0.001167303128102621
sim,left_pick_x30_y20_z18,left,left_wrist_yaw_link,3,0.04893066512098596,0.038090000000000034,0.00022999999999999873,0.030713333333333325,0.0030620172376214553
sim,left_pick_x30_y30_z06,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,left_pick_x30_y30_z10,left,left_wrist_yaw_link,3,0.0002671220857140526,0.000180000000000032,5.333333333333116e-05,0.0001900000000000096,1.0599818914006921e-05
sim,left_pick_x30_y30_z14,left,left_wrist_yaw_link,3,0.013117267281273033,0.009376666666666663,0.002856666666666674,0.008716666666666678,0.0007367236457293645
sim,left_pick_x30_y30_z18,left,left_wrist_yaw_link,3,0.038821196529731046,0.029500000000000026,0.009120000000000017,0.023529999999999995,0.002380178429570776
sim,left_pick_x35_y20_z06,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673189128491534e-06
sim,left_pick_x35_y20_z10,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673189128491534e-06
sim,left_pick_x35_y20_z14,left,left_wrist_yaw_link,3,0.0004935151000149925,0.00038666666666666477,0.0,0.00030666666666668657,2.8423324386083924e-05
sim,left_pick_x35_y20_z18,left,left_wrist_yaw_link,3,0.011228476743453777,0.009253333333333372,7.00000000000145e-05,0.006359999999999995,0.0007037216518432358
sim,left_pick_x35_y30_z06,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,left_pick_x35_y30_z10,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,left_pick_x35_y30_z14,left,left_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,left_pick_x35_y30_z18,left,left_wrist_yaw_link,3,0.00525205673998294,0.0042400000000000215,0.0011200000000000099,0.0028900000000000037,0.000308927346524253
sim,right_pick_x30_y20_z06,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.6732697272820544e-06
sim,right_pick_x30_y20_z10,right,right_wrist_yaw_link,3,0.0023347578012668023,0.0015966666666666907,2.0000000000020002e-05,0.0017033333333333438,0.0001089409929233017
sim,right_pick_x30_y20_z14,right,right_wrist_yaw_link,3,0.021881887495211916,0.015946666666666682,0.0001433333333333379,0.01498333333333334,0.0012533221466918736
sim,right_pick_x30_y20_z18,right,right_wrist_yaw_link,3,0.047858216979622864,0.037250000000000026,0.0002100000000000065,0.030046666666666656,0.0029987475387262094
sim,right_pick_x30_y30_z06,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673189128491534e-06
sim,right_pick_x30_y30_z10,right,right_wrist_yaw_link,3,0.0002671220857140526,0.000180000000000032,5.333333333333116e-05,0.0001900000000000096,1.0599818914006918e-05
sim,right_pick_x30_y30_z14,right,right_wrist_yaw_link,3,0.013554285526976207,0.009690000000000013,0.002950000000000027,0.009006666666666671,0.0007602892695000653
sim,right_pick_x30_y30_z18,right,right_wrist_yaw_link,3,0.03719021281262806,0.02825666666666669,0.008753333333333354,0.022539999999999994,0.002282325607821708
sim,right_pick_x35_y20_z06,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.6732697272820544e-06
sim,right_pick_x35_y20_z10,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673189128491534e-06
sim,right_pick_x35_y20_z14,right,right_wrist_yaw_link,3,0.0004935151000149925,0.00038666666666666477,0.0,0.00030666666666668657,2.5156625503081396e-05
sim,right_pick_x35_y20_z18,right,right_wrist_yaw_link,3,0.011580768271291503,0.009543333333333367,7.333333333335117e-05,0.006559999999999992,0.0007246737760271471
sim,right_pick_x35_y30_z06,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,right_pick_x35_y30_z10,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,right_pick_x35_y30_z14,right,right_wrist_yaw_link,3,0.0,0.0,0.0,0.0,3.673310026677315e-06
sim,right_pick_x35_y30_z18,right,right_wrist_yaw_link,3,0.005762562392105527,0.004653333333333361,0.0012266666666666721,0.0031699999999999875,0.0003428542572070212
